business_type,annual_revenue,employee_count,current_tech_investment,customer_satisfaction,operational_efficiency,complexity_level,data_availability,workforce_skill_level,ai_integration_cost,potential_improvement,ai_beneficial
Finance,205934500.84152517,2280,5238419.573282532,1.2709348499018704,0.9399573133635073,High,Rich,1.6597523630234785,1432812.6112818494,0.05447487751800595,0
Manufacturing,191497032.9430029,4090,6807668.447843636,9.65343092116701,0.7527603958617451,Low,Moderate,9.047639427549141,3642422.7795082903,0.5944177353982901,1
Manufacturing,37513118.180246785,4633,3187452.1933771437,7.010811160307321,0.7538789190942844,Low,Moderate,3.053493223758152,1110365.688350491,0.4897361518426842,1
Finance,472594878.1648893,4991,7762514.643712349,9.398845789833755,0.5691857973602783,Low,Rich,7.660160201423915,1324283.600783815,0.5340060093989546,1
Tech,565276292.1293538,3747,7751922.670573539,3.389467666861651,0.9913697704551929,Medium,Poor,3.7875992405141083,1748659.69662834,0.2518145707676732,0
Manufacturing,66642930.788924016,2887,5260830.871775975,6.503172501030948,0.6249864454344148,Low,Moderate,8.728768230482654,2986866.2492295625,0.23467814798401637,0
Manufacturing,775752089.0783156,4133,9762536.850464216,7.10649971463374,0.5366820337298013,High,Moderate,7.304093788819221,2326669.3638817514,0.3152595132779938,1
Finance,453835545.9132796,2511,1342947.1261502684,3.857947302318296,0.8315731244876043,High,Rich,4.616321127415256,3751209.5681563197,0.1611140609791729,0
Manufacturing,524865879.05825245,3293,267781.88240685186,8.632983115140672,0.7976831850784363,Medium,Poor,1.686722087566716,1146479.7716473422,0.453537346923387,1
Manufacturing,441321984.1912899,3409,7724566.296395251,9.52445316610223,0.7075728269963728,High,Moderate,7.594301654837263,152294.21045928716,0.4594816731240986,1
Finance,401362297.8144507,735,8090839.819912337,8.96369605926404,0.711096116940339,High,Poor,6.551962803686634,3905131.6117475783,0.09369852707928834,0
Finance,560080690.9769096,2210,1290051.568293705,7.6516027834543525,0.8925319605232156,Medium,Moderate,1.0262054605040987,4126081.736012355,0.30185506147899416,1
Retail,156085005.6847818,4038,2729270.0462902,3.497182117524586,0.5978563200498246,Low,Rich,1.0847787037520078,391452.7992311088,0.16885401195399294,0
Tech,182746202.36477587,4116,273768.3973296262,3.5345443789506854,0.9101266594724449,Medium,Poor,8.279136758734246,3093446.8585761427,0.26481381418834143,0
Tech,861923835.3925037,1617,3003755.2467275904,9.67024288401434,0.824373556947509,Low,Rich,3.3345976492166844,1953213.240978082,0.2578110041886857,0
Manufacturing,946169346.6714991,88,7754104.5517948475,1.0925604634212283,0.7094848868897622,Low,Moderate,6.725203009552591,3990088.710453132,0.00136427304078672,0
Tech,373936006.9634732,2594,5227809.224354532,7.4444497591793,0.7290143082919343,High,Rich,5.0879297778872274,4384631.315562745,0.2815584871266958,0
Manufacturing,271473928.4704102,4925,3546146.372366052,7.356215462997359,0.628323603593048,Medium,Rich,8.770870130695906,4269918.457306521,0.45527525513896416,1
Retail,644355543.6957767,1306,3780219.0195726696,6.604205868548177,0.8760571663484874,High,Rich,9.252650017922397,3908300.8120191754,0.1511214882842434,0
Finance,409325436.9269983,3040,113400.89458313472,9.910979614781793,0.7564373711526339,High,Moderate,9.971269414109686,1418355.9208365984,0.4558197502134553,1
Finance,26360969.304684516,2246,3068025.2228958355,3.806914921873527,0.6604272713749217,Low,Poor,2.3831572222652215,4078259.253484752,0.11293743430468654,0
Finance,156996444.76882416,3518,6499941.542215512,4.059746774139233,0.7980250578804751,High,Rich,8.766676418279278,2714044.531940834,0.22795089648446587,0
Tech,716256256.6185502,2758,9744524.993781935,1.710454626519,0.9978672260256616,Medium,Poor,3.394192390559216,358507.41267724504,0.0941474527955452,0
Retail,659265017.9682412,351,8485902.187140604,4.9851832288936375,0.7176311398282769,High,Moderate,6.31734287405957,2339000.36450142,0.025114209514082327,0
Tech,28068896.510980006,696,333590.14999073837,3.349436736113633,0.9603457003893098,High,Poor,5.551955504822898,4716573.793446967,0.044775310982078,0
Tech,222750189.77101648,4808,8995749.986280909,4.090480319598798,0.672508419962283,Low,Rich,1.1618931841514888,4450510.8137042085,0.2645248570285987,0
Retail,231843721.7914833,1809,7853664.291656396,8.511146112300649,0.5273663534624929,Medium,Rich,9.394941519154854,601094.9768858686,0.1623936437811223,0
Retail,672220850.8551297,4401,7825723.623352706,9.419360621747462,0.6021210531842145,High,Rich,1.704943496342966,3746220.760000414,0.49921382164094563,1
Retail,20690827.21660979,647,4634158.014135358,2.6715976480466708,0.7093475716638421,Low,Rich,7.193970274669622,4048385.04319535,0.024522481475115303,0
Retail,105004473.40258928,711,4040252.400249578,4.352580383981193,0.6098174642972845,High,Rich,8.06506152587436,1429802.1223601475,0.03774385495797326,0
Finance,800116169.2878162,4380,3098865.7154486068,9.357675059038547,0.5001135191091277,Medium,Rich,8.157590641429158,2410881.996631352,0.40995922287030023,1
Healthcare,179366117.39227927,1418,750379.1036482212,1.5562761462030037,0.9575007688737636,High,Moderate,2.219450670359603,3583840.913172046,0.04226024580230461,0
Healthcare,653093361.7440228,2631,2359530.098587621,1.8312447530024065,0.9219397056154646,High,Moderate,5.028129554571749,2251303.295223625,0.08883820121569655,0
Retail,238944598.2656798,3918,2541375.9862824436,2.465118902856064,0.8711461157434736,Low,Moderate,8.464859833905818,652704.902446227,0.16827643540391693,0
Healthcare,100341951.36658582,3587,4892362.990130995,6.356915507141872,0.5839072978230143,High,Poor,3.724112893408792,3558823.9789404357,0.26628807281841005,0
Healthcare,243929018.80845463,4915,7499699.62530727,2.354250439053977,0.5601817881049931,Low,Poor,5.209738078371972,4567029.579702987,0.12963884808460863,0
Retail,722544664.9238034,4358,4790717.301139671,9.712687433056601,0.5338023747361915,Medium,Moderate,3.455145034298612,3297175.169190172,0.4518945835634239,1
Healthcare,855840771.6381794,4608,672660.04952689,5.020430745326683,0.8620145943864606,High,Poor,5.171962760967918,3891623.6679882663,0.3988394102087974,1
Tech,830389644.7024246,332,9582119.02978322,5.513661643151497,0.9644039803439426,Medium,Poor,8.99054130333592,1855976.4247233595,0.035307517639902176,0
Manufacturing,397786346.0888364,3728,9432970.759031711,3.2199275422486586,0.7152679104565185,Medium,Rich,5.096118079294925,997671.4011205108,0.17171994460063447,0
Manufacturing,668417051.4340755,1536,7873376.477169243,5.238642271912601,0.5595703359980241,High,Rich,6.003208153668883,3249590.9419296333,0.09005226443574026,0
Retail,205779311.12040514,4132,9914146.225485783,6.957222693733104,0.7561964103660532,Low,Poor,4.635786549727752,1706078.9086219724,0.4347712569930494,1
Finance,293854582.53075224,4233,5490375.0947226025,7.760594232586385,0.6744159537293151,Medium,Poor,5.14105464882993,4314360.243049985,0.4430993123637595,1
Retail,896439482.7025987,510,9631406.66750674,7.784812744389217,0.6874124621749989,Medium,Moderate,1.1365677914177952,700877.4448922323,0.0545840484211574,0
Finance,13988921.5872253,2375,848489.9021058327,6.201020014246795,0.8106653120778536,High,Poor,3.5537095896441038,2223972.128692306,0.2387802116898937,0
Manufacturing,86423022.32361361,3804,3720239.407787576,9.139237974944715,0.8593590566311011,High,Rich,4.929235495676419,2043965.2422950906,0.5975237172141056,1
Retail,208678368.8908813,2518,2331274.5532669816,8.356670625754985,0.5553017994365804,High,Poor,6.70417278393456,4696463.882414255,0.2336942825139089,0
Tech,27505671.669945896,1774,2038747.5329292733,7.813433032287628,0.5177951154032382,High,Moderate,5.050467374985029,850360.522961579,0.14354347463286107,0
Healthcare,182253999.65470752,1426,1493949.1940374933,1.5004496951241455,0.9971651513428574,High,Rich,4.040353389894077,148249.44255885365,0.042671514121589586,0
Finance,583458519.4087225,2793,6261895.051503367,1.0619016599768438,0.6163641744577759,High,Rich,4.492888618097415,1266617.5427548762,0.0365613833007893,0
Healthcare,422003126.04190546,564,7835086.3718983205,2.9120254947592565,0.5269152624542295,Low,Rich,3.180639962804199,4119356.6128664073,0.017307926846085748,0
Healthcare,892779039.3658979,752,5825154.15426157,6.9717123452210705,0.59493766454796,Medium,Rich,9.320448544966476,1125676.8986303837,0.06238192327891272,0
Retail,817626118.1767025,1703,1554930.8249232757,4.700777399942912,0.519478923174232,Low,Poor,5.695689032118231,1280302.5121568653,0.08317297986824801,0
Healthcare,342475534.3461781,2116,8130125.322341362,4.621656333693806,0.6959054473085858,Low,Moderate,1.1206850848491081,736504.1422303729,0.13611109982646719,0
Tech,260164009.99786118,72,6395951.600920912,8.961281994066523,0.9012008922256621,High,Poor,1.1750163257759194,3605637.3960550483,0.011629318073095456,0
Healthcare,380312715.75909966,2510,3942840.4906572555,9.060065633186548,0.6706222248788603,Medium,Poor,9.756654714568374,438953.5334765442,0.30500924489829834,1
Retail,590704647.5722929,1354,6773889.925807023,9.182577376482271,0.7220917034391833,Low,Rich,2.993058022359205,1722920.681409756,0.17955835240832682,0
Tech,268795577.1820534,3350,2673059.294504045,3.8249026886352455,0.8377933867837194,High,Moderate,8.250474599328832,1484243.7604427263,0.21470003790120173,0
Manufacturing,624524758.9412849,411,3517402.864092684,7.219502314653356,0.7544470350349401,High,Rich,1.5244777140451702,2820282.6759717586,0.04477213799120288,0
Healthcare,410002240.5390492,3777,9183109.847006703,3.444698631469327,0.9307228430106621,Medium,Poor,9.290464630250941,3679039.6985967043,0.242185750009647,0
Retail,552495133.6711283,1334,2975994.606147062,2.715488497670048,0.9330178375228783,Low,Poor,8.869753033000105,2711094.5300140623,0.06759642681379505,0
Manufacturing,436690402.6061814,564,4752883.854763572,2.661692116126323,0.5049553477455768,Low,Rich,6.1398384619106325,4662027.365577831,0.015160722336057766,0
Manufacturing,295171293.78237575,498,8912397.260220544,4.078968587772346,0.8890231532415995,Low,Poor,1.080987915549302,4762068.930547927,0.036117923258113055,0
Finance,948504853.6551945,1905,7106441.367648522,4.869618578018396,0.730366800120837,High,Poor,3.320297866210038,1871180.1096427257,0.1355067548420421,0
Tech,763842188.3656011,3612,715811.9390305573,8.478542539495615,0.9944202706518315,Medium,Rich,4.661403826586184,3910633.843746974,0.6090723851098433,1
Healthcare,140973062.59068608,2570,1558300.1383618063,2.079019841254409,0.7416160379377176,Medium,Poor,5.140577050728056,3720126.7780141295,0.07925029111370087,0
Retail,868599507.9220148,3131,177631.7486419765,7.614332626554048,0.9934479726941488,Low,Moderate,3.679108827061348,4475526.499353654,0.47368544015166675,1
Finance,487943767.0512641,1478,6346125.7232687175,5.7830942277037485,0.8772846806028682,High,Rich,1.2965308142097698,2294923.837017746,0.14997029438554438,0
Tech,894657674.6671973,4017,4531966.911563141,3.5915080840839324,0.6243024423066532,Low,Moderate,6.311146653338879,2699318.617269182,0.18013732514789066,0
Finance,800055400.6913679,972,1429321.0239325278,5.4353762607954215,0.7691974896434788,Medium,Poor,5.717392009252803,2137294.1365497126,0.08127626394739183,0
Tech,425788290.96476424,3187,9583547.798462028,3.6994786279932037,0.9960678197392914,High,Poor,3.5470057188616995,4266846.904568558,0.23487754089516596,0
Tech,23446839.01179728,2209,5343631.267061637,6.364737597144754,0.9287653038759618,Low,Rich,1.3417837081264588,1225541.3452744584,0.26116333027485844,0
Healthcare,269408682.02556115,2597,2494743.6117176027,4.904595305697198,0.5486834468956105,Low,Poor,9.951347684997462,1274574.483387979,0.13977418919833692,0
Tech,542092580.4462061,3029,5055975.354431605,2.4796497617099087,0.8531859984049981,High,Rich,5.337875681437653,1925765.0075276908,0.12816319688378178,0
Finance,633844741.6063211,2331,6828241.294077567,2.0492476710012704,0.6727897929354065,Medium,Rich,7.804038175966694,1228679.8773015207,0.06427559615540292,0
Tech,258629797.7477691,2699,854768.2579382883,5.920261138649171,0.5034911309401741,High,Rich,5.0708263154620195,2848933.4984331117,0.16090352873309702,0
Healthcare,140216717.9987513,363,2819567.7689741305,9.12171729957493,0.7017404845134998,Low,Rich,1.388532617766473,759001.5218279613,0.0464718285843159,0
Healthcare,835095306.5624998,2663,8088958.3597515365,4.09561917901917,0.6173772108624856,Low,Rich,3.7864067057695006,1668912.4750798712,0.1346701440172106,0
Finance,984417778.5228486,3133,4650682.216986346,7.597000965003609,0.9094346352602358,Low,Moderate,3.8809912690531108,4575879.022530391,0.43291642373325107,1
Manufacturing,526164492.12038314,2306,5511113.70611972,6.927952194457903,0.6686653044228827,Low,Rich,8.545176136441144,2105204.8529398,0.21365003585575723,0
Manufacturing,172507606.5624552,1087,4384878.4218737455,9.38399422878533,0.9137618469769085,Medium,Moderate,6.888069801998869,3766345.2108181952,0.1864147584337277,0
Tech,273035019.1928496,3539,534609.4321657507,8.388829155692267,0.5002989694173976,Medium,Poor,3.4788691327552557,655964.7393622127,0.2970581802981471,0
Retail,19372285.870919265,2684,1740922.8202195438,6.099447330149167,0.6539095750130596,Low,Rich,9.709659591931775,1313066.0898947448,0.21410198277583753,0
Tech,914384507.7539386,4033,4510862.22354472,6.9132744841069655,0.6205826071538809,Medium,Poor,3.8938764915808424,4055993.543881806,0.3460522024815897,1
Finance,118633331.80725099,1828,2170936.1075384854,9.085478199256315,0.6167836805343054,Medium,Rich,9.984106232458483,3838665.387819501,0.20487400241601894,0
Finance,576939959.0387393,3945,594792.3837308194,4.595669061282413,0.5340933098827314,Medium,Moderate,9.965473238532368,1992164.0011097237,0.19366132029520655,0
Finance,274781165.4665188,1174,8452131.674113056,3.941152352719996,0.5935621352052509,Low,Moderate,2.7208946597206762,4776544.819964024,0.054927205556654465,0
Finance,554623824.5132776,747,9813806.038724747,1.0972997527167672,0.7777747849428099,High,Moderate,3.8146700456956015,4562150.777589273,0.012750574063055006,0
Finance,651768967.9635123,2229,7952114.452567721,8.438959667723179,0.6456805364188722,High,Poor,5.374397786361888,4815273.670649976,0.24291071398614228,0
Healthcare,829912061.9034945,1454,8552470.724876203,8.208826303630284,0.708697391164574,High,Rich,6.976906040331018,2196781.9819201482,0.169175045694144,0
Manufacturing,207214850.4888426,1093,2495573.590138749,1.9400906629013623,0.6884334401735943,Low,Poor,5.752427041034194,1067620.5600598468,0.02919672510431341,0
Finance,11984832.829821996,1979,9610207.057580678,6.191716430194302,0.9379524624999473,Medium,Moderate,9.724973222190311,3170627.331547571,0.22986226192950823,0
Retail,137748744.43873847,1063,2049564.474088941,5.1758352835019865,0.9526494995052577,Medium,Poor,7.515902478121223,3455388.4755680724,0.1048278915313572,0
Retail,900118623.206257,276,9519155.12258214,2.0683818595820034,0.7464784858279301,Low,Moderate,2.9084036444467696,714664.7438075481,0.00852289412377412,0
Retail,874016187.4849527,1878,9948711.010262916,9.825114043546511,0.6650779751578022,Low,Moderate,1.945877951922745,3953766.868049939,0.24543457878384156,0
Retail,597815689.068138,4967,7146055.776885883,2.932262987170199,0.5534003520011819,High,Moderate,7.195611616384211,188495.0768238066,0.1612005447822909,0
Healthcare,600916343.5732198,2073,9813322.944739036,1.6051076208150503,0.9767014396910475,High,Rich,2.426071961626867,2465369.0986362384,0.06499729491356461,0
Retail,665371637.8717092,2502,5738443.817714326,6.353626415517186,0.5301134724501487,Low,Rich,8.089091563021787,1721979.671524985,0.16854187380751157,0
Finance,176195907.34482613,2135,2669463.653443294,7.649800094197294,0.6488251387841402,High,Moderate,3.7993300053430326,3727484.993505512,0.21193643735256845,0
Tech,914497533.9790348,4333,4426259.2680896465,1.2919910144246827,0.6490331005850021,Medium,Poor,3.942039367500459,1632527.564366898,0.07266830398217441,0
Retail,419351754.36718106,1130,5976253.260249981,6.9284587485432,0.6602006430701075,Low,Poor,1.0971855315056076,4151354.852627061,0.10337630802076829,0
Healthcare,383755389.721248,2370,823507.4640674484,5.79062688356309,0.5821434216362047,Low,Rich,7.309101403855366,3015272.0950259715,0.15978423146751886,0
Healthcare,519398787.5775547,3240,6261198.319710736,1.9293850798754357,0.8915807154618486,Medium,Moderate,2.0194277775821723,3990077.472634153,0.11146912393860585,0
Retail,47919000.80827999,2680,9813660.583946716,2.5527148925172587,0.5612489309829947,Medium,Poor,7.955925197171663,4947769.125414156,0.07679317584279094,0
Tech,167117085.38732332,2613,1982065.7328589035,6.111768675844725,0.8174533295765813,Medium,Moderate,5.426810397254862,3427875.8941434287,0.2610954362608529,0
Retail,738295582.809944,3342,7946691.651254995,3.6672185216195956,0.5619230133529087,High,Poor,8.058518334591122,4926256.550172056,0.13773681919640277,0
Healthcare,83715869.25720134,4671,9088198.058418231,9.444841557861844,0.5352678187964783,Low,Rich,6.255338852779672,241298.0019163562,0.472286654069232,1
Manufacturing,603548957.3569218,3636,9442645.768920187,8.368662065356457,0.9547147518429382,High,Moderate,1.741899448170917,1756885.9435706614,0.581009902434291,1
Finance,246103760.57163963,4481,9605342.483613927,9.852104858622967,0.5950643831593528,Medium,Moderate,7.890871030346648,628480.9963553149,0.5254095011003999,1
Healthcare,389906318.4279346,2997,5262450.4233425725,3.3370375505537258,0.9106250772798521,High,Poor,1.6281953640527478,1385294.1637837538,0.18214507723688378,0
Retail,289405043.03392917,4009,9775348.289115887,9.727512695181794,0.772315435553568,Medium,Poor,5.30831548512399,4210550.705716295,0.6023689437993008,1
Finance,356317043.7484842,2863,7597371.050630945,4.881104828124021,0.5389282598043847,High,Poor,2.5511429273046695,258384.00009784254,0.15062617084983393,0
Retail,719326859.2790612,2633,1700547.2187459227,4.127669157823791,0.9777240957190337,High,Moderate,7.771016601800965,2648896.385088729,0.2125210991800938,0
Retail,297824593.9075518,211,4821311.054032903,1.4531457427241792,0.6234805834959463,Medium,Rich,9.204321050255139,2878930.666908628,0.003823354416540517,0
Manufacturing,566838235.6566002,643,7211478.636182839,1.4748873207364235,0.9298226726763033,High,Rich,5.987135470224469,2849640.618692585,0.01763599400216104,0
Finance,476574351.7969006,3309,2548669.126608925,7.228101303519892,0.584405002892282,Low,Poor,5.744325648692625,2428955.661733953,0.27955349011186464,0
Finance,664007494.1972855,4205,6442090.3171339845,5.121360949906251,0.9269714410709264,High,Rich,7.875668766930561,3973954.527371801,0.399252584092231,1
Manufacturing,936892909.5854332,3012,6699344.74256153,3.0386946343249512,0.506614406452647,High,Poor,1.045709316781545,754361.1385772007,0.09273625586841695,0
Healthcare,732839525.1130401,3938,1710727.4637048023,6.525732756927094,0.7558902282847404,Low,Rich,9.259827783716446,1621827.3761988578,0.38850241521574136,1
Retail,215725438.212166,3440,5694344.593282287,3.2757230642510007,0.8847212897107783,Medium,Moderate,2.7770393538201854,3117057.6618813463,0.19938941306879676,0
Tech,32151951.926223386,4551,7739106.418688216,6.1986857890998035,0.9673977587463917,Low,Poor,9.857069954436135,3485661.6947129834,0.5458100531936825,1
Retail,263001780.25552526,713,5039067.078905825,4.232878722844213,0.9546010681032435,High,Rich,7.626285531644159,2080327.3157075758,0.05762053244269454,0
Retail,595482852.7695546,1182,219820.8560834635,8.411970039506372,0.9098124347738225,Medium,Moderate,7.968260329306039,4389319.190303442,0.18092436524986613,0
Healthcare,52374387.6707661,591,189480.84388499256,8.386265446901014,0.944095674830652,High,Rich,6.905826823362459,2135917.6438099802,0.09358410458825972,0
